id;nombre_original;latitud;longitud;nombre_normalizado;tipo;pais;region;estado;municipio;parroquia_sector;direccion_referencial;telefono
171;Colegio San Agustín El Paraiso;10,4886531;-66,9374272;;ESCUELA;VENEZUELA;;;;;;
172;U.E. República del Ecuador;10,492183;-66,9361612;;ESCUELA;VENEZUELA;;;;;;
173;Colegio José Antonio González;10,4855155;-66,9358294;;ESCUELA;VENEZUELA;;;;;;
174;Liceo Eduardo Crema;10,4899408;-66,9305832;;ESCUELA;VENEZUELA;;;;;;
175;Unidad Educacional Paraíso;10,4877827;-66,9330174;;ESCUELA;VENEZUELA;;;;;;
176;Instituto Andes;10,4355886;-66,8373416;;ESCUELA;VENEZUELA;;;;;;
177;Colegio Champagnat;10,474277;-66,8301345;;ESCUELA;VENEZUELA;;;;;;
178;U.E.N. Alfaro Zamora;10,4643712;-66,8314204;;ESCUELA;VENEZUELA;;;;;;
179;Colegio Madison;10,4650212;-66,8317433;;ESCUELA;VENEZUELA;;;;;;
180;Liceo Fermín Toro;10,5059593;-66,9194547;;ESCUELA;VENEZUELA;;;;;;
181;U.E. Fe y Alegría Virginia de Ruíz;10,5021988;-66,9481818;;ESCUELA;VENEZUELA;;;;;;
182;Escuela Miguel Antonio Caro;10,5159935;-66,9391759;;ESCUELA;VENEZUELA;;;;;;
183;Liceo Miguel Antonio Caro;10,5146895;-66,9400243;;ESCUELA;VENEZUELA;;;;;;
184;Instituto Técnico Jesús Obrero;10,5107506;-66,9369434;;ESCUELA;VENEZUELA;;;;;;
185;Colegio Cristo Rey;10,5071582;-66,9335592;;ESCUELA;VENEZUELA;;;;;;
186;Colegio Santiago de León de Caracas;10,4957302;-66,8438641;;ESCUELA;VENEZUELA;;;;;;
187;Escuela Tomas Vicente Gonzalez;10,4339885;-66,9805486;;ESCUELA;VENEZUELA;;;;;;
188;Liceo Rafael Guinand;10,4356654;-66,9823792;;ESCUELA;VENEZUELA;;;;;;
189;Liceo Francisco Fajardo;10,4351909;-66,9997723;;ESCUELA;VENEZUELA;;;;;;
190;Colegio Santa Luisa;10,4815448;-66,9085201;;ESCUELA;VENEZUELA;;;;;;
191;Escuela San Vicente de Paul;10,4814256;-66,9076527;;ESCUELA;VENEZUELA;;;;;;
192;U.E.N. Cristóbal Colón;10,4607107;-66,9138998;;ESCUELA;VENEZUELA;;;;;;
193;Liceo Diego de Losada;10,4578513;-66,9158572;;ESCUELA;VENEZUELA;;;;;;
194;U.E.N. Pedro Mendoza;10,4591304;-66,9141769;;ESCUELA;VENEZUELA;;;;;;
195;Liceo Luis Cardenas Saavedra;10,4556841;-66,9181334;;ESCUELA;VENEZUELA;;;;;;
196;Escuela Juan España;10,4661239;-66,9051852;;ESCUELA;VENEZUELA;;;;;;
197;Liceo José Ávalos;10,4630623;-66,9109683;;ESCUELA;VENEZUELA;;;;;;
198;U.E. Colegio Nuestra Madre;10,4864103;-66,9038649;;ESCUELA;VENEZUELA;;;;;;
199;Liceo Básico Gustavo H, Machado;10,517784;-66,9386707;;ESCUELA;VENEZUELA;;;;;;
200;U.E. Gran Colombia;10,4776485;-66,9084547;;ESCUELA;VENEZUELA;;;;;;
201;Colegio San José;10,4543876;-66,9201327;;ESCUELA;VENEZUELA;;;;;;
202;Liceo Fray Pedro de Agreda;10,4541717;-66,9191814;;ESCUELA;VENEZUELA;;;;;;
203;U.E.N. Básica Doctor Jesús Muñoz Tébar;10,4534356;-66,9253016;;ESCUELA;VENEZUELA;;;;;;
204;U.E.N Pedro Emilio Coll;10,4508582;-66,9227481;;ESCUELA;VENEZUELA;;;;;;
205;U.E.N Carlos Delgado Chalbaud;10,4483788;-66,9265207;;ESCUELA;VENEZUELA;;;;;;
206;U.E. José Hernández Parra;10,4359154;-66,9569439;;ESCUELA;VENEZUELA;;;;;;
